expression,expansions
neglected disease*,"neglected disease, neglected diseases"
non-governmental organisation*,"non-governmental organisation, non-governmental organisations"
non-governmental organization*,"non-governmental organization, non-governmental organizations"
nongovernmental organisation*,"nongovernmental organisation, nongovernmental organisations"
nongovernmental organization*,"nongovernmental organization, nongovernmental organizations"
number of death*,"number of death, number of deaths"
occupational injur*,"occupational injury, occupational injuries"
official development assistance*,"official development assistance, ODA"
open defaecation*,"open defaecation, open defaecations"
open defecation*,"open defecation, open defecations"
parentiong plan*,"parenting plan, parenting plans"
per million inhabitant*,"per million inhabitant, per million inhabitants"
poverty indicator*,"poverty indicator, poverty indicators"
poverty line*,"poverty line, poverty lines"
product* activit*,"productive activity, productive activities, product activities"
public service*,"public service, public services"
quality job*,"quality job, quality jobs"
reading skill*,"reading skill, reading skills"
resource* manage*,"resource management, resources management, resource manager"
risk reduction*,"risk reduction, risk reductions"
rule* based,"rule based, rules based"
safe* reus*,"safe reuse, safely reused, safe reuses"
school facilit*,"school facility, school facilities"
sea level*,"sea level, sea levels"
sea water*,"sea water, sea waters"
small enterprise*,"small enterprise, small enterprises"
small entrepren*,"small entrepreneur, small entrepreneurship, small entrepreneurs"
small island*,"small island, small islands"
small-scale industry*,"small-scale industry, small-scale industries"
sustainable development goal*,"sustainable development goal, sustainable development goals, SDG, SDGs"
sustainable development*,sustainable development
technol* capabilit*,"technological capability, technological capabilities"
the poor*,the poor
trade union*,"trade union, trade unions"
tropical disease*,"tropical disease, tropical diseases"
unemployment rate*,"unemployment rate, unemployment rates"
unintended pregnanc*,"unintended pregnancy, unintended pregnancies"
unwanted pregnanc*,"unwanted pregnancy, unwanted pregnancies"
voting right*,"voting right, voting rights"
waste water*,"waste water, wastewater"
water scarc*,water scarcity
water short*,water shortage
water-borne disease*,"water-borne disease, water-borne diseases"
wind farm*,"wind farm, wind farms"
wind turbine*,"wind turbine, wind turbines"
work* environment*,"work environment, working environment, work environments"
writing skill*,"writing skill, writing skills"
