original,detected_language,confidence,translated_text
corrents estètics contemporanis,ca,100,contemporary aesthetic currents
fonaments de la comunicació,ca,100,phones of communication
projectes de disseny gràfic,ca,100,graphic design projects
redacció per a professionals de la comunicació (castellà),ca,100,redaction for communication professionals (in Spanish)
redacció per a professionals de la comunicació (català),ca,100,redaction for communication professionals (Catalan)
tecnologia i llenguatges audiovisuals,ca,100,technology and audiovisual languages
història i estructura de la comunicació,ca,100,history and structure of communication
estructura i canvi social,ca,100,structure and social change
expressió oral i locució,ca,100,oral expression and locution
món actual,ca,100,present world
sistema jurídic-polític,ca,100,legal-political system
corrents estètics contemporanis,ca,100,contemporary aesthetic currents
fonaments de la comunicació,ca,100,phones of communication
projectes de disseny gràfic,ca,100,graphic design projects
redacció per a professionals de la comunicació (castellà),ca,100,redaction for communication professionals (in Spanish)
redacció per a professionals de la comunicació (català),ca,100,redaction for communication professionals (Catalan)
tecnologia i llenguatges audiovisuals,ca,100,technology and audiovisual languages
història i estructura de la comunicació,ca,100,history and structure of communication
estructura i canvi social,ca,100,structure and social change
expressió oral i locució,ca,100,oral expression and locution
món actual,ca,100,present world
sistema jurídic-polític,ca,100,legal-political system
corrents estètics contemporanis,ca,100,contemporary aesthetic currents
fonaments de la comunicació,ca,100,phones of communication
projectes de disseny gràfic,ca,100,graphic design projects
redacció per a professionals de la comunicació (castellà),ca,100,redaction for communication professionals (in Spanish)
redacció per a professionals de la comunicació (català),ca,100,redaction for communication professionals (Catalan)
tecnologia i llenguatges audiovisuals,ca,100,technology and audiovisual languages
història i estructura de la comunicació,ca,100,history and structure of communication
trastorns del comportament alimentari,ca,100,food behavior disorders
trastorns psicòtics i de la personalitat,ca,100,psychotic and personality disorders
trastorns emocionals i conductuals en infants i adolescents,ca,100,emotional and behavioral disorders in children and adolescents
habilitats bàsiques i deontologia professional en psicologia sanitària,ca,100,basic skills and professional deontology in health psychology
pràctiques externes 2,ca,100,external practices 2
pràctiques externes 1,ca,100,external practices 1
fonaments de la psicologia sanitària,ca,100,Foundations of Health Psychology
bases biològiques de la conducta patològica,ca,100,biological bases of pathological behavior
avaluació cognitiva en neuropsicologia,ca,100,cognitive evaluation in neuropsychology
treball de fi de màster,ca,100,Final Masterwork
psicofarmacologia clínica,ca,100,clinical psychopharmacology
trastorns de l'agressivitat i la conducta violenta,ca,100,disorders of aggression and violent behavior
noves tecnologies en psicologia general sanitària,ca,100,new technologies in general health psychology
intervenció en malalties cròniques,ca,100,intervention in chronic diseases
psicologia del dolor,ca,100,psicology of pain
trastorns emocionals en el cicle vital,ca,100,emotional disorders in the life cycle
intervenció neuropsicològica i neurorehabilitació,ca,100,neuropsychological intervention and neurorehabilitation
psicopatologia de la primera infància,ca,100,early childhood psychopathology
mètodes d'avaluació en psicologia sanitària,ca,100,evaluation methods in health psychology
ensenyament i aprenentatge de l'educació física 2,ca,100,teaching and learning physical education 2
aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
pràctiques externes ii (g.ep),ca,100,external practices ii (g.ep)
competència comunicativa i intercultural en llengua estrangera,ca,100,communicative and intercultural competence in the foreign language
ensenyament i aprenentatge de llengües i lecto-escriptura 3,ca,100,language teaching and learning and lecto-writing 3
"ensenyament i aprenentatge de l'educació musical, visual i plàstica 1",ca,100,"teaching and learning music, visual and plastic education 1"
l'escola d'educació infantil,ca,100,the school of children's education
ensenyament i aprenentatge de les ciències experimentals 1,ca,100,teaching and learning experimental sciences 1
ensenyament i aprenentatge de les llengües 3,ca,100,teaching and learning of languages 3
ensenyament i aprenentatge de les matemàtiques 3,ca,100,teaching and learning mathematics 3
"societat, família i educació",ca,100,"society, family and education"
processos i contextos educatius,ca,100,processes and educational contexts
habilitats comunicatives,ca,100,comunicatives skills
"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 2",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 2"
treball de fi de grau ii (g.ep),ca,100,final ii degree work (g.ep)
treball de fi de grau i (g.ei),ca,100,Final degree work and (g.ei)
"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 1",ca,100,"teaching and learning music, plastic expression and body expression 1"
"ensenyament i aprenentatge de la música, l'expressió plàstica i l'expressió corporal 2",ca,100,"teaching and learning music, plastic expression and body expression 2"
practicum i (g.ei),ca,100,practicum i (g.ei)
coneixement i ús de la llengua estrangera 2,ca,100,knowledge and use of the foreign language 2
didàctica de la llengua estrangera,ca,100,didactical of the foreign language
ensenyament i aprenentatge de llengües i lecto-escriptura 1,ca,100,language teaching and learning and lecto-writing 1
ensenyament i aprenentatge de llengües i lecto-escriptura 2,ca,100,language teaching and learning and lecto-writing 2
competència comunicativa oral i cultura popular,ca,100,oral communication competence and popular culture
ensenyament i aprenentatge de les llengües 2,ca,100,teaching and learning of languages 2
ensenyament i aprenentatge de l'educació física 1,ca,100,teaching and learning physical education 1
pràctiques externes i (g.ep),ca,100,external practices and (g.ep)
coneixement i ús de la llengua estrangera 1,ca,100,knowledge and use of the foreign language 1
escola inclusiva i atenció primerenca,ca,100,inclusive school and early attention
"infància, salut i alimentació",ca,100,"childhood, health and food"
ensenyament i aprenentatge de les ciències socials 2,ca,100,teaching and learning social sciences 2
dificultats d'aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
"ensenyament i aprenentatge de les ciències experimentals, ciències socials i les matemàtiques 1",ca,100,"teaching and learning experimental sciences, social sciences and mathematics 1"
practicum ii (g.ei),ca,100,practicum ii (g.ei)
"organització de l'espai escolar, materials i habilitats docents",ca,100,"organization of school space, materials and teaching skills"
ensenyament i aprenentatge de les matemàtiques 2,ca,100,teaching and learning mathematics 2
assessorament i orientació en educació,ca,100,advice and guidance in education
pràcticum,ca,100,practicum
habilitats comunicatives,ca,100,comunicatives skills
aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
política i gestió educativa,ca,100,educational policy and management
disseny de recursos educatius i d'entorns tecnològics per a la formació,ca,100,design of educational resources and technological environments for training
procés formatiu i aprenentatge adult,ca,100,formative process and adult learning
cultura del benestar: salut i qualitat de vida,ca,100,welfare culture: health and quality of life
disseny i desenvolupament de projectes mitjançant les tic,ca,100,design and development of projects through the tic
"direcció, supervisió i avaluació educativa",ca,100,"direction, supervision and educational evaluation"
planificació i organització de la intervenció educativa,ca,100,planification and organization of educational intervention
sistema educatiu,ca,100,educational system
projecció professional,ca,100,professional projection
atenció a la diversitat,ca,100,attention to diversity
formació en les organitzacions,ca,100,formation in organizations
"psicologia de l'adolescència, maduresa i tercera edat",ca,100,"psicology of adolescence, maturity and third age"
investigació i avaluació en educació,ca,100,research and evaluation in education
desenvolupament i ètica professional,ca,100,development and professional ethics
estudis en el marc de convenis de mobilitat,ca,100,studies within the framework of mobility conventions
contextos d'actuació professional,ca,100,contexts of professional action
treball de fi de grau,ca,100,end-of-degree work
"societat, família i educació",ca,100,"society, family and education"
processos i contextos educatius,ca,100,processes and educational contexts
recursos tic i educació inclusiva,ca,100,tic resources and inclusive education
pràctiques externes 2,ca,100,external practices 2
audició: les històries de la música,ca,100,audition: the stories of music
salut i activitat física,ca,100,Health and physical activity
recursos per atendre la diversitat a primària,ca,100,resources to attend to diversity in primary
ensenyament i aprenentatge de les ciències socials 2,ca,100,teaching and learning social sciences 2
ensenyament i aprenentatge de les llengües 3,ca,100,teaching and learning of languages 3
dansa: la música en moviment,ca,100,dance: moving music
hàbits saludables i estil de vida,ca,100,healthy habits and lifestyle
"societat, família i educació",ca,100,"society, family and education"
aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
habilitats comunicatives,ca,100,comunicatives skills
ensenyament i aprenentatge de les ciències experimentals 1,ca,100,teaching and learning experimental sciences 1
esport extraescolar,ca,100,extracurricular sport
activitat física i esportiva a l'edat escolar,ca,100,physical and sports activity at school age
pedagogia i didàctica de la religió a l'escola,ca,100,pedagogy and teaching of religion in school
"atenció a la diversitat social, lingüística i cultural a l'escola",ca,100,"attention to social, linguistic and cultural diversity in school"
gestió de recursos i organització en educació física,ca,100,resource management and organization in physical education
ensenyament i aprenentatge de les llengües 1,ca,100,teaching and learning of languages 1
ensenyament i aprenentatge de les matemàtiques 2,ca,100,teaching and learning mathematics 2
"intervenció psicoeducativa en les dificultats de comunicació, lectura i escriptura",ca,100,"psychoeducational intervention in the difficulties of communication, reading and writing"
processos i contextos educatius,ca,100,processes and educational contexts
didàctica de la llengua estrangera,ca,100,didactical of the foreign language
"religió, cultura i valors",ca,100,"religion, culture and values"
formació vocal i auditiva,ca,100,vocal and auditory training
dificultats d'aprenentatge i trastorns del desenvolupament,ca,100,learning difficulties and developmental disorders
ensenyament i aprenentatge de les ciències experimentals 2,ca,100,teaching and learning experimental sciences 2
ensenyament i aprenentatge de les matemàtiques 1,ca,100,teaching and learning mathematics 1
treball de fi de grau,ca,100,end-of-degree work
el joc i la seva aplicació en el context escolar,ca,100,the game and its application in the school context
"pràctica instrumental, creativitat i improvisació",ca,100,"instrumental practice, creativity and improvisation"
agrupacions musicals,ca,100,musical groups
coneixement i ús de la llengua estrangera 1,ca,100,knowledge and use of the foreign language 1
ensenyament i aprenentatge de les matemàtiques 3,ca,100,teaching and learning mathematics 3
llenguatge musical,ca,100,musical language
didàctica de la música i la dansa a primària,ca,100,Didactics of music and dance in primary
intervenció educativa segons les capacitats intel·lectuals de l'alumnat d'educació primària,ca,100,educational intervention according to the intellectual capabilities of primary education students
ensenyament i aprenentatge de l'educació física 1,ca,100,teaching and learning physical education 1
ensenyament i aprenentatge de l'educació física 2,ca,100,teaching and learning physical education 2
"ensenyament i aprenentatge de l'educació musical, visual i plàstica 2",ca,100,"teaching and learning music, visual and plastic education 2"
pràctiques externes 1,ca,100,external practices 1
ensenyament i aprenentatge de les ciències socials 1,ca,100,teaching and learning of social sciences 1
"ensenyament i aprenentatge de l'educació musical, visual i plàstica 1",ca,100,"teaching and learning music, visual and plastic education 1"
intervenció educativa a l'alumnat amb discapacitat sensorial i motòrica,ca,100,educational intervention to students with sensory and motoric disabilities
ensenyament i aprenentatge de les llengües 2,ca,100,teaching and learning of languages 2
coneixement i ús de la llengua estrangera 2,ca,100,knowledge and use of the foreign language 2
competència comunicativa i intercultural en llengua estrangera,ca,100,communicative and intercultural competence in the foreign language
projecció professional,ca,100,professional projection
"societat, família i educació",ca,100,"society, family and education"
habilitats comunicatives,ca,100,comunicatives skills
planificació i organització de la intervenció educativa,ca,100,planification and organization of educational intervention
investigació i avaluació en educació,ca,100,research and evaluation in education
contextos d'intervenció 2,ca,100,contexts of intervention 2
acció educativa en famílies,ca,100,educational action in families
processos i contextos educatius,ca,100,processes and educational contexts
l'atenció socioeducativa en infància en situació de vulnerabilitat,ca,100,socio-educational care in vulnerable children
aprenentatge i desenvolupament de la personalitat,ca,100,learning and development of personality
"comunitat, entorn social i acció comunitària",ca,100,"community, social environment and community action"
suport a les famílies amb nens i nenes amb necessitats especials,ca,100,supporting families with children with special needs
infància i salut,ca,100,childhood and health
treball de fi de grau,ca,100,end-of-degree work
"psicologia de l'adolescència, maduresa i tercera edat",ca,100,"psicology of adolescence, maturity and third age"
mediació social i cultural,ca,100,social and cultural mediation
