id,original,detected_language,confidence,translated_text
246,paleoecologia humana,cat,0.68196451663971,human palaeoecology
247,prehistòria d'europa,cat,0.894699156284332,prehistory of *europa
248,prehistòria d'àfrica,cat,0.958172976970673,prehistory of *àfrica
249,prehistòria d'àsia i oceania,cat,0.93636029958725,prehistory of *àsia and *oceania
250,elaboració de tesi de màster,cat,0.975769400596619,preparation of thesis of *màster
251,epistemologia i teoria del coneixement en arqueologia,cat,0.929152607917786,epistemology and theory of the ken at archaeology
252,evolució humana,cat,0.945741236209869,human evolution
253,treball de fi de màster,cat,0.826329469680786,work of end of *màster
254,anàlisi microscòpica en arqueologia,cat,0.963401854038239,microscopic analysis at archaeology
255,arqueobotànica,cat,0.946661651134491,*arqueobotànica
256,arqueologia de la ment i cognició,cat,0.949792385101318,archaeology of the mind and cognition
257,arqueologia experimental,cat,0.81321132183075,experimental archaeology
258,caracterització cristal·logràfica i química de materials arqueològics,cat,0.99927145242691,crystallographic and chemical characterization of archaeologic materials
259,conservació i restauració en arqueologia plistocènica,cat,0.988393008708954,conservation and restoration at archaeology *plistocènica
260,etnoarqueologia,cat,0.63620936870575,ethnoarchaeology
261,paleontologia de mamífers: sistemàtica i  evolució,cat,0.981718122959137,paleontology of mammals: systematics and  evolution
262,prehistòria d'amèrica,cat,0.979852914810181,prehistory of *amèrica
263,prehistòria de la península ibèrica,cat,0.971797525882721,prehistory of the Iberian peninsula
264,tecnologia lítica,cat,0.902957797050476,tech *lítica
265,zooarqueologia i tafonomia,cat,0.913917064666748,*zooarqueologia and *tafonomia
266,prehistòria d'àfrica,cat,0.958172976970673,prehistory of *àfrica
267,elaboració de tesi de màster,cat,0.975769400596619,preparation of thesis of *màster
268,epistemologia i teoria del coneixement en arqueologia,cat,0.929152607917786,epistemology and theory of the ken at archaeology
269,evolució humana,cat,0.945741236209869,human evolution
270,treball de fi de màster,cat,0.826329469680786,work of end of *màster
271,anàlisi microscòpica en arqueologia,cat,0.963401854038239,microscopic analysis at archaeology
272,arqueobotànica,cat,0.946661651134491,*arqueobotànica
273,arqueologia de la ment i cognició,cat,0.949792385101318,archaeology of the mind and cognition
274,arqueologia experimental,cat,0.81321132183075,experimental archaeology
275,caracterització cristal·logràfica i química de materials arqueològics,cat,0.99927145242691,crystallographic and chemical characterization of archaeologic materials
276,conservació i restauració en arqueologia plistocènica,cat,0.988393008708954,conservation and restoration at archaeology *plistocènica
277,etnoarqueologia,cat,0.63620936870575,ethnoarchaeology
278,paleontologia de mamífers: sistemàtica i  evolució,cat,0.981718122959137,paleontology of mammals: systematics and  evolution
279,prehistòria d'amèrica,cat,0.979852914810181,prehistory of *amèrica
280,prehistòria de la península ibèrica,cat,0.971797525882721,prehistory of the Iberian peninsula
281,tecnologia lítica,cat,0.902957797050476,tech *lítica
282,zooarqueologia i tafonomia,cat,0.913917064666748,*zooarqueologia and *tafonomia
283,estadística aplicada a l'arqueologia,cat,0.955377399921417,statistics applied at the archaeology
284,geologia del quaternari,cat,0.736558854579926,geology of the quaternary
285,mètodes d'excavació i registre en arqueologia del quaternari,cat,0.963539242744446,methods of excavation and registry at archaeology of the quaternary
286,paleoecologia humana,cat,0.68196451663971,human palaeoecology
287,prehistòria d'europa,cat,0.894699156284332,prehistory of *europa
288,prehistòria d'àfrica,cat,0.958172976970673,prehistory of *àfrica
289,prehistòria d'àsia i oceania,cat,0.93636029958725,prehistory of *àsia and *oceania
290,elaboració de tesi de màster,cat,0.975769400596619,preparation of thesis of *màster
291,epistemologia i teoria del coneixement en arqueologia,cat,0.929152607917786,epistemology and theory of the ken at archaeology
292,evolució humana,cat,0.945741236209869,human evolution
293,treball de fi de màster,cat,0.826329469680786,work of end of *màster
294,anàlisi microscòpica en arqueologia,cat,0.963401854038239,microscopic analysis at archaeology
295,arqueobotànica,cat,0.946661651134491,*arqueobotànica
296,arqueologia de la ment i cognició,cat,0.949792385101318,archaeology of the mind and cognition
297,arqueologia experimental,cat,0.81321132183075,experimental archaeology
298,caracterització cristal·logràfica i química de materials arqueològics,cat,0.99927145242691,crystallographic and chemical characterization of archaeologic materials
299,conservació i restauració en arqueologia plistocènica,cat,0.988393008708954,conservation and restoration at archaeology *plistocènica
300,etnoarqueologia,cat,0.63620936870575,ethnoarchaeology
1,geometria descriptiva 1,cat,0.681224286556244,descriptive geometry 1
2,gràfica arquitectònica 1,cat,0.994821131229401,architectural graph 1
3,introducció a projectes 1,cat,0.972630858421326,introduction at projects 1
4,matemàtiques 1,cat,0.949541330337524,mathematicians 1
5,teoria 1,cat,0.726503252983093,theory 1
6,tècnica 1,cat,0.901603102684021,technician 1
7,geometria descriptiva 2,cat,0.689542949199677,descriptive geometry 2
8,gràfica arquitectònica 2,cat,0.995014190673828,architectural graph 2
9,introducció a projectes 2,cat,0.973611891269684,introduction at projects 2
10,matemàtiques 2,cat,0.951704800128937,mathematicians 2
11,teoria 2,cat,0.737028956413269,theory 2
12,tècnica 2,cat,0.906129062175751,technician 2
13,gràfica arquitectònica 2i,cat,0.995015323162079,architectural graph *2i
14,activitats amb ciutadania i pacients,cat,0.994432687759399,activities with citizenry and patients
15,biomedicina per a enginyers,cat,0.827032804489136,biomedicine for engineers
16,estadística biomèdica,cat,0.979642391204834,biomedical statistics
17,històries clíniques digitals,cat,0.852497398853302,digital clinical histories
18,imatge mèdica,cat,0.924362242221832,medical image
19,programació científica,cat,0.987107515335083,scientific programming
20,reptes biomèdics i ciència de dades,cat,0.991509079933167,biomedical challenges and science of data
21,anàlisi avançada de dades de salut,cat,0.952005982398987,analysis advanced of data of health
22,aprenentatge automàtic,cat,0.992061138153076,automatic learning
23,computació d'altes prestacions i distribuïda,cat,0.982598602771759,computation of tall features and distributed
24,escola d'estiu,cat,0.922998011112213,school of summer
25,laboratori de negocis,cat,0.833909332752228,laboratory of bargains
26,anàlisi de dades de salut ambiental,cat,0.95426344871521,analysis of data of ambient health
27,aprenentatge profund,cat,0.92603588104248,deep learning
28,ciències-òmiques i medicina translacional,cat,0.957284331321716,sciences-*òmiques and translational medicine
29,diagnòstic i presa de decisions assistida per ordinador,cat,0.767313063144684,diagnostic and inmate of decisions assisted by computer
30,epidemiologia computacional,cat,0.813821196556091,computational epidemiology
31,iot per a salut,cat,0.719173073768616,yacht for health
32,metodologia de la recerca i de projectes,cat,0.821524679660797,methodology of the enquiry and of projects
33,mineria de textos de salut,cat,0.830871999263763,*mineria of texts of health
34,proteòmica per a la investigació en salut,cat,0.97621077299118,*proteòmica for the inquest at health
35,"ètica, regulació i privacitat",cat,0.980154275894165,"ethic, regulation and privacy"
36,anàlisi avançada d'imatge mèdica,cat,0.961447417736053,analysis advanced of medical image
37,eines per a la neuroenginyeria i la neuroimatge,cat,0.817464292049408,tools for the *neuroenginyeria and the *neuroimatge
38,integració de dades de salut,cat,0.98435252904892,integration of data of health
39,predicció del comportament dinàmic en xarxes moleculars,cat,0.972059369087219,prediction of the dynamic behaviour at molecular meshes
40,pràctiques acadèmiques externes en empresa,cat,0.920929908752441,external academic practices at company
41,treball de fi de màster,cat,0.826329469680786,work of end of *màster
42,sensors biomèdics i processat de senyal,cat,0.831789076328278,biomedical sensors and processed of signal
43,visualització i comunicació de dades en salut,cat,0.997975826263428,visualisation and communication of data at health
44,xarxes complexes,cat,0.48017954826355,complex meshes
45,dret de la seguretat i salut en el treball,cat,0.925794243812561,law of the security and health at the work
46,"gestió, formació i informació aplicades a la prevenció",cat,0.99856424331665,"management, training and information applied at the prevention"
47,higiene industrial,cat,0.729394257068634,industrial hygiene
48,"medicina, ergonomia i psicosociologia aplicades a la prevenció",cat,0.932805716991425,"medicine, ergonomics and *psicosociologia applied at the prevention"
49,seguretat en el treball,cat,0.912694692611694,security at the work
50,especialització en ergonomia,cat,0.985729813575745,specialisation at ergonomics
51,especialització en higiene industrial,cat,0.980069518089294,specialisation at industrial hygiene
52,especialització en psicosociologia,cat,0.977702498435974,specialisation at *psicosociologia
53,especialització en seguretat en el treball,cat,0.991493999958038,specialisation at security at the work
54,pràctiques acadèmiques externes,cat,0.835343658924103,external academic practices
55,treball de fi de màster,cat,0.826329469680786,work of end of *màster
56,dret mercantil,cat,0.815323412418366,mercantile law
57,estadística 1,cat,0.961453557014465,statistics 1
58,fonaments de màrqueting,cat,0.909513652324677,bedrocks of marketing
59,introducció a l'economia,cat,0.977343201637268,introduction at the economics
60,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
61,matemàtiques 1,cat,0.949541330337524,mathematicians 1
62,comptabilitat financera,cat,0.700393795967102,financial accounting
63,direcció estratègica de màrqueting,cat,0.995067656040192,strategic address of marketing
64,macroeconomia,cat,0.656534969806671,macroeconomy
65,matemàtiques 2,cat,0.951704800128937,mathematicians 2
66,organització d'empreses,cat,0.994008660316467,organisation of companies
67,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
68,dret mercantil,cat,0.815323412418366,mercantile law
69,estadística 1,cat,0.961453557014465,statistics 1
70,introducció a l'economia,cat,0.977343201637268,introduction at the economics
71,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
72,matemàtiques 1,cat,0.949541330337524,mathematicians 1
73,comptabilitat financera,cat,0.700393795967102,financial accounting
74,macroeconomia,cat,0.656534969806671,macroeconomy
75,matemàtiques 2,cat,0.951704800128937,mathematicians 2
76,organització d'empreses,cat,0.994008660316467,organisation of companies
77,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
78,sociologia de l'empresa,cat,0.819093883037567,sociology of the company
79,fonaments de màrqueting,cat,0.909513652324677,bedrocks of marketing
80,dret mercantil,cat,0.815323412418366,mercantile law
81,estadística 1,cat,0.961453557014465,statistics 1
82,introducció a l'economia,cat,0.977343201637268,introduction at the economics
83,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
84,matemàtiques 1,cat,0.949541330337524,mathematicians 1
85,comptabilitat financera,cat,0.700393795967102,financial accounting
86,macroeconomia,cat,0.656534969806671,macroeconomy
87,matemàtiques 2,cat,0.951704800128937,mathematicians 2
88,organització d'empreses,cat,0.994008660316467,organisation of companies
89,principis d'economia aplicada,cat,0.924228250980377,principles of economics applied
90,sociologia de l'empresa,cat,0.819093883037567,sociology of the company
91,fonaments de màrqueting,cat,0.909513652324677,bedrocks of marketing
92,dret mercantil,cat,0.815323412418366,mercantile law
93,estadística 1,cat,0.961453557014465,statistics 1
94,introducció a l'economia,cat,0.977343201637268,introduction at the economics
95,introducció a la comptabilitat,cat,0.959679245948792,introduction at the accounting
96,matemàtiques 1,cat,0.949541330337524,mathematicians 1
97,comptabilitat financera,cat,0.700393795967102,financial accounting
98,macroeconomia,cat,0.656534969806671,macroeconomy
99,matemàtiques 2,cat,0.951704800128937,mathematicians 2
100,organització d'empreses,cat,0.994008660316467,organisation of companies
401,cultura del benestar: salut i qualitat de vida,cat,0.777933716773987,culture of the welfare: health and living quality
402,disseny i desenvolupament de projectes mitjançant les tic,cat,0.862448513507843,design and development of projects by means of the tic
403,"direcció, supervisió i avaluació educativa",cat,0.998660266399384,"address, supervision and educational appraisal"
404,planificació i organització de la intervenció educativa,cat,0.998010516166687,planning and organisation of the educational intervention
405,sistema educatiu,cat,0.851194739341736,educational system
406,projecció professional,cat,0.979241549968719,professional projection
407,atenció a la diversitat,cat,0.980338871479034,attention at the diversity
408,formació en les organitzacions,cat,0.982238948345184,training at the organisations
409,"psicologia de l'adolescència, maduresa i tercera edat",cat,0.953005313873291,"psychology of the adolescence, maturity and third age"
410,investigació i avaluació en educació,cat,0.998567044734955,inquest and appraisal at nurture
411,desenvolupament i ètica professional,cat,0.858816206455231,development and ethic professional
412,estudis en el marc de convenis de mobilitat,cat,0.895581722259522,surveys at the frame of agreements of mobility
413,contextos d'actuació professional,cat,0.963828563690186,contexts of professional performance
414,treball de fi de grau,cat,0.623390972614288,work of end of rank
415,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
416,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
417,recursos tic i educació inclusiva,cat,0.97620302438736,resources tic and inclusive nurture
418,pràctiques externes 2,cat,0.837387979030609,external practices 2
419,audició: les històries de la música,cat,0.978875577449799,audition: the histories of the musician
420,salut i activitat física,cat,0.894422769546509,health and physical activity
421,recursos per atendre la diversitat a primària,cat,0.944868683815002,resources to attend the diversity at primary
422,ensenyament i aprenentatge de les ciències socials 2,cat,0.957440614700317,education and learning of the social sciences 2
423,ensenyament i aprenentatge de les llengües 3,cat,0.9117391705513,education and learning of the tongues 3
424,dansa: la música en moviment,cat,0.85570216178894,dance: the musician at movement
425,hàbits saludables i estil de vida,cat,0.910838961601257,healthy habits and lifestyle
426,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
427,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
428,habilitats comunicatives,cat,0.729893088340759,communicative abilities
429,ensenyament i aprenentatge de les ciències experimentals 1,cat,0.951103985309601,education and learning of the experimental sciences 1
430,esport extraescolar,cat,0.745244264602661,extracurricular sport
431,activitat física i esportiva a l'edat escolar,cat,0.895066022872925,physical and sportive activity at the school age
432,pedagogia i didàctica de la religió a l'escola,cat,0.966462850570679,pedagogy and didactic of the religion at the school
433,"atenció a la diversitat social, lingüística i cultural a l'escola",cat,0.944614887237549,"attention at the social diversity, linguistic and cultural at the school"
434,gestió de recursos i organització en educació física,cat,0.998992145061493,management of resources and organisation at physical nurture
435,ensenyament i aprenentatge de les llengües 1,cat,0.911563217639923,education and learning of the tongues 1
436,ensenyament i aprenentatge de les matemàtiques 2,cat,0.953299522399902,education and learning of the mathematicians 2
437,"intervenció psicoeducativa en les dificultats de comunicació, lectura i escriptura",cat,0.974662184715271,"intervention *psicoeducativa at the difficulties of communication, reading and scripture"
438,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
439,didàctica de la llengua estrangera,cat,0.94073611497879,didactic of the foreign tongue
440,"religió, cultura i valors",cat,0.942077159881592,"religion, culture and values"
441,formació vocal i auditiva,cat,0.978320360183716,vocal and auditory training
442,dificultats d'aprenentatge i trastorns del desenvolupament,cat,0.932777881622314,difficulties of learning and *trastorns developmental
443,ensenyament i aprenentatge de les ciències experimentals 2,cat,0.952240169048309,education and learning of the experimental sciences 2
444,ensenyament i aprenentatge de les matemàtiques 1,cat,0.952026069164276,education and learning of the mathematicians 1
445,treball de fi de grau,cat,0.623390972614288,work of end of rank
446,el joc i la seva aplicació en el context escolar,cat,0.996001720428467,the game and his app at the school context
447,"pràctica instrumental, creativitat i improvisació",cat,0.980228662490845,"instrumental practice, creativity and improvisation"
448,agrupacions musicals,cat,0.793091297149658,musical groupings
449,coneixement i ús de la llengua estrangera 1,cat,0.959746479988098,ken and use of the foreign tongue 1
450,ensenyament i aprenentatge de les matemàtiques 3,cat,0.952135980129242,education and learning of the mathematicians 3
451,llenguatge musical,cat,0.883761465549469,musical language
452,didàctica de la música i la dansa a primària,cat,0.950768351554871,didactic of the musician and the dance at primary
453,intervenció educativa segons les capacitats intel·lectuals de l'alumnat d'educació primària,cat,0.995422601699829,educational intervention according to the intellectual capacities of the students of primary nurture
454,ensenyament i aprenentatge de l'educació física 1,cat,0.981663405895233,education and learning of the physical nurture 1
455,ensenyament i aprenentatge de l'educació física 2,cat,0.982153654098511,education and learning of the physical nurture 2
456,"ensenyament i aprenentatge de l'educació musical, visual i plàstica 2",cat,0.976218700408936,"education and learning of the musical nurture, visual and plastic 2"
457,pràctiques externes 1,cat,0.831680059432983,external practices 1
458,ensenyament i aprenentatge de les ciències socials 1,cat,0.956329345703125,education and learning of the social sciences 1
459,"ensenyament i aprenentatge de l'educació musical, visual i plàstica 1",cat,0.975713849067688,"education and learning of the musical nurture, visual and plastic 1"
460,intervenció educativa a l'alumnat amb discapacitat sensorial i motòrica,cat,0.988710165023804,educational intervention at the students with sensory disability and *motòrica
461,ensenyament i aprenentatge de les llengües 2,cat,0.9139643907547,education and learning of the tongues 2
462,coneixement i ús de la llengua estrangera 2,cat,0.960784316062927,ken and use of the foreign tongue 2
463,competència comunicativa i intercultural en llengua estrangera,cat,0.965750217437744,communicative and intercultural competence at foreign tongue
464,projecció professional,cat,0.979241549968719,professional projection
465,"societat, família i educació",cat,0.990484774112701,"society, family and nurture"
466,habilitats comunicatives,cat,0.729893088340759,communicative abilities
467,planificació i organització de la intervenció educativa,cat,0.998010516166687,planning and organisation of the educational intervention
468,investigació i avaluació en educació,cat,0.998567044734955,inquest and appraisal at nurture
469,contextos d'intervenció 2,cat,0.958132326602936,contexts of intervention 2
470,acció educativa en famílies,cat,0.993763208389282,educational act at families
471,processos i contextos educatius,cat,0.826275169849396,processes and educational contexts
472,l'atenció socioeducativa en infància en situació de vulnerabilitat,cat,0.990426480770111,the attention *socioeducativa at infancy at situation of vulnerability
473,aprenentatge i desenvolupament de la personalitat,cat,0.927666068077087,learning and development of the personality
474,"comunitat, entorn social i acció comunitària",cat,0.98344612121582,"community, social environment and community act"
