web-scraper-order,web-scraper-start-url,learning-results
"1740065360-25","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","ADE_SE6 - Planificar l'àrea de màrqueting d'una institució pública o privada - SE6.1-Identificar els conceptes bàsics de la disciplina de màrqueting."
"1740065360-26","https://guiadocent.urv.cat/guido/public/centres/498/ensenyaments/3542/assignatures/116912/guia_docent","SE6.1-Identificar els conceptes bàsics de la disciplina de màrqueting."
"1740065367-27","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST1 - Gestionar la informació i el coneixement amb l'ús eficient de les TIC - ST1.3-Intercanviar informació fent servir les TIC"
"1740065367-28","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST1.3-Intercanviar informació fent servir les TIC"
"1740065367-29","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4 - Analizar la realidad sociocomunicativa de Cataluña (estructura, políticas, financiación y funcionamiento) en el contexto español europeo y mundial. - K4.1-Identificar los principales actores empresariales e institucionales del sistema comunicativo catalán y español en el contexto europeo y global."
"1740065367-30","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4.1-Identificar los principales actores empresariales e institucionales del sistema comunicativo catalán y español en el contexto europeo y global."
"1740065367-31","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K1 - Identificar los parámetros básicos (juridicopolíticos, sociológicos, económicos, culturales, estéticos y comunicativos) del mundo actual y su evolución histórica reciente. - K1.15-Interpretar la dimensión comunicativa en la evolución de las sociedades occidentales desde la invención de la imprenta hasta nuestros días."
"1740065367-32","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K1.15-Interpretar la dimensión comunicativa en la evolución de las sociedades occidentales desde la invención de la imprenta hasta nuestros días."
"1740065367-33","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K1 - Identificar los parámetros básicos (juridicopolíticos, sociológicos, económicos, culturales, estéticos y comunicativos) del mundo actual y su evolución histórica reciente. - K1.16-Asociar las diversas estructuras y modelos de negocio de la comunicación con el contexto sociopolítico, económico y cultural de cada época."
"1740065367-34","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K1.16-Asociar las diversas estructuras y modelos de negocio de la comunicación con el contexto sociopolítico, económico y cultural de cada época."
"1740065367-35","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST1 - Gestionar la informació i el coneixement amb l'ús eficient de les TIC - ST1.1-Buscar informació de manera autònoma utilitzant les TIC"
"1740065367-36","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST1.1-Buscar informació de manera autònoma utilitzant les TIC"
"1740065367-37","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4 - Analizar la realidad sociocomunicativa de Cataluña (estructura, políticas, financiación y funcionamiento) en el contexto español europeo y mundial. - K4.2-Identificar el marco legal general de la actividad mediática y su evolución reciente."
"1740065367-38","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4.2-Identificar el marco legal general de la actividad mediática y su evolución reciente."
"1740065367-39","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST1 - Gestionar la informació i el coneixement amb l'ús eficient de les TIC - ST1.2-Tractar la informació utilitzant les eines i els formats que ofereixen les TIC"
"1740065367-40","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST1.2-Tractar la informació utilitzant les eines i els formats que ofereixen les TIC"
"1740065367-41","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4 - Analizar la realidad sociocomunicativa de Cataluña (estructura, políticas, financiación y funcionamiento) en el contexto español europeo y mundial. - K4.3-Interpretar las interacciones entre el sistema mediático y el sistema político en Cataluña y en España."
"1740065367-42","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4.3-Interpretar las interacciones entre el sistema mediático y el sistema político en Cataluña y en España."
"1740065367-43","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST4 - Utilitzar informació pròpia de l'àmbit d'estudi en llengua estrangera - ST4.2-Utilitzar bibliografia en llengua estrangera"
"1740065367-44","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","ST4.2-Utilitzar bibliografia en llengua estrangera"
"1740065367-45","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4 - Analizar la realidad sociocomunicativa de Cataluña (estructura, políticas, financiación y funcionamiento) en el contexto español europeo y mundial. - K4.4-Interpretar las diversas modalidades de financiación de la actividad mediática y su influencia en los contenidos que difunden."
"1740065367-46","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K4.4-Interpretar las diversas modalidades de financiación de la actividad mediática y su influencia en los contenidos que difunden."
"1740065367-47","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K1 - Identificar los parámetros básicos (juridicopolíticos, sociológicos, económicos, culturales, estéticos y comunicativos) del mundo actual y su evolución histórica reciente. - K1.14-Identificar la evolución histórica de las diferentes tecnologías comunicativas y su función en la dialéctica entre el mantenimiento del status quo y el cambio social."
"1740065367-48","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117282/guia_docent","K1.14-Identificar la evolución histórica de las diferentes tecnologías comunicativas y su función en la dialéctica entre el mantenimiento del status quo y el cambio social."
"1740065376-49","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","ST4 - Utilitzar informació pròpia de l'àmbit d'estudi en llengua estrangera - ST4.1-Incorporar el vocabulari propi de l'àmbit d'estudi en llengua estrangera"
"1740065376-50","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","ST4.1-Incorporar el vocabulari propi de l'àmbit d'estudi en llengua estrangera"
"1740065376-51","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1 - Aplicar las herramientas y los programas informáticos de creación de contenidos textuales y audiovisuales en función de su objetivo. - SE1.2-Identificar los diferentes sistemas y formatos de captación, grabación, edición y tratamiento de imagen y sonido."
"1740065376-52","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1.2-Identificar los diferentes sistemas y formatos de captación, grabación, edición y tratamiento de imagen y sonido."
"1740065376-53","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1 - Aplicar las herramientas y los programas informáticos de creación de contenidos textuales y audiovisuales en función de su objetivo. - SE1.4-Planificar de manera metódica los equipos necesarios para una correcta toma, grabación, reproducción, tratamiento y edición de imagen y sonido."
"1740065376-54","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1.4-Planificar de manera metódica los equipos necesarios para una correcta toma, grabación, reproducción, tratamiento y edición de imagen y sonido."
"1740065376-55","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1 - Aplicar las herramientas y los programas informáticos de creación de contenidos textuales y audiovisuales en función de su objetivo. - SE1.1-Identificar los conceptos físicos que conforman la naturaleza del sonido y de la imagen."
"1740065376-56","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1.1-Identificar los conceptos físicos que conforman la naturaleza del sonido y de la imagen."
"1740065376-57","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1 - Aplicar las herramientas y los programas informáticos de creación de contenidos textuales y audiovisuales en función de su objetivo. - SE1.5-Investigar las posibilidades expresivas y narrativas tanto de la imagen como del sonido."
"1740065376-58","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1.5-Investigar las posibilidades expresivas y narrativas tanto de la imagen como del sonido."
"1740065376-59","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1 - Aplicar las herramientas y los programas informáticos de creación de contenidos textuales y audiovisuales en función de su objetivo. - SE1.3-Explicar los aspectos de la evolución tecnológica del mundo audiovisual y de Internet."
"1740065376-60","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117023/guia_docent","SE1.3-Explicar los aspectos de la evolución tecnológica del mundo audiovisual y de Internet."
"1740065384-61","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.3-Produir un text de qualitat (sense errors gramaticals ni ortogràfics, amb una presentació formal acurada i un ús adequat i coherent de les convencions formals i bibliogràfiques) [comunicació escrita]"
"1740065384-62","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3.3-Produir un text de qualitat (sense errors gramaticals ni ortogràfics, amb una presentació formal acurada i un ús adequat i coherent de les convencions formals i bibliogràfiques) [comunicació escrita]"
"1740065384-63","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.2-Aplicar los conocimientos ortográficos, gramaticales y léxicos de la lengua propia."
"1740065384-64","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2.2-Aplicar los conocimientos ortográficos, gramaticales y léxicos de la lengua propia."
"1740065384-65","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.1-Aplicar las características básicas del castellano o del catalán estándar y de las variedades de la lengua, así como sus características específicas en los medios de comunicación."
"1740065384-66","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2.1-Aplicar las características básicas del castellano o del catalán estándar y de las variedades de la lengua, así como sus características específicas en los medios de comunicación."
"1740065384-67","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.2-Usar els mecanismes de comunicació verbals, no verbals i paraverbals per comunicar-se de manera efectiva amb un auditori [comunicació oral]"
"1740065384-68","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3.2-Usar els mecanismes de comunicació verbals, no verbals i paraverbals per comunicar-se de manera efectiva amb un auditori [comunicació oral]"
"1740065384-69","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.1-Construir un discurs estructurat, clar, cohesionat, ric i adequat [comunicació oral]"
"1740065384-70","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3.1-Construir un discurs estructurat, clar, cohesionat, ric i adequat [comunicació oral]"
"1740065384-71","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.4-Validar la importancia de una buena expresión oral y escrita para el desarrollo profesional y personal."
"1740065384-72","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2.4-Validar la importancia de una buena expresión oral y escrita para el desarrollo profesional y personal."
"1740065384-73","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.4-Redactar un text adequat a la situació comunicativa que sigui estructurat, clar, cohesionat, ric i de extensió adequada [comunicació escrita]"
"1740065384-74","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","ST3.4-Redactar un text adequat a la situació comunicativa que sigui estructurat, clar, cohesionat, ric i de extensió adequada [comunicació escrita]"
"1740065384-75","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.3-Construir diferentes tipos de textos (tanto periodísticos como publicitarios) en la lengua propia, teniendo en cuenta la corrección y la adecuación a su universo comunicativo."
"1740065384-76","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117015/guia_docent","SE2.3-Construir diferentes tipos de textos (tanto periodísticos como publicitarios) en la lengua propia, teniendo en cuenta la corrección y la adecuación a su universo comunicativo."
"1740065392-77","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.3-Produir un text de qualitat (sense errors gramaticals ni ortogràfics, amb una presentació formal acurada i un ús adequat i coherent de les convencions formals i bibliogràfiques) [comunicació escrita]"
"1740065392-78","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3.3-Produir un text de qualitat (sense errors gramaticals ni ortogràfics, amb una presentació formal acurada i un ús adequat i coherent de les convencions formals i bibliogràfiques) [comunicació escrita]"
"1740065392-79","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.2-Aplicar los conocimientos ortográficos, gramaticales y léxicos de la lengua propia."
"1740065392-80","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2.2-Aplicar los conocimientos ortográficos, gramaticales y léxicos de la lengua propia."
"1740065392-81","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.2-Usar els mecanismes de comunicació verbals, no verbals i paraverbals per comunicar-se de manera efectiva amb un auditori [comunicació oral]"
"1740065392-82","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3.2-Usar els mecanismes de comunicació verbals, no verbals i paraverbals per comunicar-se de manera efectiva amb un auditori [comunicació oral]"
"1740065392-83","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.1-Construir un discurs estructurat, clar, cohesionat, ric i adequat [comunicació oral]"
"1740065392-84","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3.1-Construir un discurs estructurat, clar, cohesionat, ric i adequat [comunicació oral]"
"1740065392-85","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.1-Aplicar las características básicas del castellano o del catalán estándar y de las variedades de la lengua, así como sus características específicas en los medios de comunicación."
"1740065392-86","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2.1-Aplicar las características básicas del castellano o del catalán estándar y de las variedades de la lengua, así como sus características específicas en los medios de comunicación."
"1740065392-87","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3 - Explicar informació de manera clara i precisa, oralment i per escrit, a audiències diverses - ST3.4-Redactar un text adequat a la situació comunicativa que sigui estructurat, clar, cohesionat, ric i de extensió adequada [comunicació escrita]"
"1740065392-88","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","ST3.4-Redactar un text adequat a la situació comunicativa que sigui estructurat, clar, cohesionat, ric i de extensió adequada [comunicació escrita]"
"1740065392-89","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.4-Validar la importancia de una buena expresión oral y escrita para el desarrollo profesional y personal."
"1740065392-90","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2.4-Validar la importancia de una buena expresión oral y escrita para el desarrollo profesional y personal."
"1740065392-91","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.3-Construir diferentes tipos de textos (tanto periodísticos como publicitarios) en la lengua propia, teniendo en cuenta la corrección y la adecuación a su universo comunicativo."
"1740065392-92","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117016/guia_docent","SE2.3-Construir diferentes tipos de textos (tanto periodísticos como publicitarios) en la lengua propia, teniendo en cuenta la corrección y la adecuación a su universo comunicativo."
"1740065398-93","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6 - Diseñar los aspectos formales y estéticos en medios escritos, audiovisuales y digitales, y en cualquier tipo de soporte gráfico. - SE6.3-Emplear las herramientas de creación de grafismo para soporte físico y bidimensional."
"1740065398-94","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6.3-Emplear las herramientas de creación de grafismo para soporte físico y bidimensional."
"1740065398-95","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6 - Diseñar los aspectos formales y estéticos en medios escritos, audiovisuales y digitales, y en cualquier tipo de soporte gráfico. - SE6.1-Aplicar los fundamentos de la composición visual en trabajos de diseño gráfico."
"1740065398-96","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6.1-Aplicar los fundamentos de la composición visual en trabajos de diseño gráfico."
"1740065398-97","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6 - Diseñar los aspectos formales y estéticos en medios escritos, audiovisuales y digitales, y en cualquier tipo de soporte gráfico. - SE6.2-Utilizar los fundamentos de cromatismo aplicados al diseño gráfico."
"1740065398-98","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6.2-Utilizar los fundamentos de cromatismo aplicados al diseño gráfico."
"1740065398-99","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6 - Diseñar los aspectos formales y estéticos en medios escritos, audiovisuales y digitales, y en cualquier tipo de soporte gráfico. - SE6.4-Practicar las técnicas y aplicar los criterios de producción y diseño gráfico."
"1740065398-100","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117003/guia_docent","SE6.4-Practicar las técnicas y aplicar los criterios de producción y diseño gráfico."
"1740065404-101","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","SE3 - Crear productos audiovisuales de diversos tipos y géneros aplicando la gramática específica del sonido y la imagen en movimiento. - SE3.1-Construir productos visuales y sonoros, independientemente de su género."
"1740065404-102","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","SE3.1-Construir productos visuales y sonoros, independientemente de su género."
"1740065404-103","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","SE1 - Aplicar las herramientas y los programas informáticos de creación de contenidos textuales y audiovisuales en función de su objetivo. - SE1.5-Investigar las posibilidades expresivas y narrativas tanto de la imagen como del sonido."
"1740065404-104","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","SE1.5-Investigar las posibilidades expresivas y narrativas tanto de la imagen como del sonido."
"1740065404-105","https://guiadocent.urv.cat/guido/public/centres/494/ensenyaments/3563/assignatures/117029/guia_docent","SE2 - Construir mensajes orales y escritos destinados a la difusión audiovisual que sean eficaces, correctos y atractivos, adoptando los recursos lingüísticos y no verbales y las estrategias retóricas más adecuadas. - SE2.12-Aplicar los fundamentos del lenguaje escrito a los diversos géneros periodísticos."
