web-scraper-order,web-scraper-start-url,description
"1740096176-11","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204111&any_academic=2024_25&idioma=cat&modalitat=p","L’assignatura de Construcció I te com a objectius introduir els paràmetres bàsics sobre construcció, mitjançant:
- La comprensió o coneixement de les tradicions arquitectòniques i dels seus fonaments tècnics, climàtics, econòmics, socials i ideològics. 
- El coneixement i l’observació dels materials de construcció, les seves característiques físiques, els procediments de fabricació, l’anàlisi i les aplicacions dels materials emprats en obra.
- Identificació de la coherència entre el material, el sistema constructiu i la forma, domini del vocabulari de la construcció i iniciació als estudiants en la necessitat de formar una catàleg de materials i solucions constructives a partir de la realitat construïda.
- Programar la connexió amb l’assignatura de projectes comentant materials a utilitzar en les seves propostes, reflexionant sobre propietats i aplicació, relacionant l’interès per la investigació amb la racionalitat i la possibilitat real de les propostes."
"1740096179-12","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204008&any_academic=2024_25&idioma=cat&modalitat=p","Introducció al coneixement bàsics de la física de les ones mecàniques (per aplicació a ones sonores i sismiques) i a les ones electromagnètiques (per aplicació a l'aprofitament de l'energia solar i fotovoltaica). Introducció a la física de la llum.
Introducció a la física de la transmissió de la calor per aplicació al condicionament i aïllament tèrmic."
"1740096181-13","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204103&any_academic=2024_25&idioma=cat&modalitat=p","Continuem la tasca iniciada durant el primer curs a les assignatures de projectes i dibuix, introduint ara qüestions arquitectòniques i urbanístiques de complexitat creixent. Ens familiaritzem, d'una banda, amb les eines de diagnòstic i projectació pròpies de l'ofici d'arquitecte i d'urbanista. Apliquem, d'una altra, aquests nous recursos al desenvolupament d'exercicis especialment ideats per a desenvolupar de manera natural, intuïtiva i incremental les competències Nuclears, Transversals i Específiques de l'assignatura."
"1740096183-14","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204118&any_academic=2024_25&idioma=cat&modalitat=p","Primera aproximació que te l’estudiant a l’esquelet de l'element que
estan projectant, es a dir, una introducció a la línia de disseny i anàlisis estructural"
"1740096185-15","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204112&any_academic=2024_25&idioma=cat&modalitat=p","L’assignatura de Construcció II te com a objectius:
- Introducció dels elements i sistemes constructius convencionals i industrialitzats, els tractaments i acabats, l’organització dimensional, els mètodes de muntatge, la coordinació modular i l’anàlisi patològica dels components constructius en obra estructural civil, basta i acabada. Aprofundir en els elements i sistemes constructius enfront els fenòmens físics (exteriors i interiors), relacionats amb les propietats dels materials utilitzats en els diferents sistemes.
- Establir el primer contacte amb el detall constructiu, reflexionant i començant a dibuixar a mà alçada unions i solucions constructives.
- Entendre que els elements i sistemes evolucionen a partir d’una construcció lògica basada en el millor aprofitament (eficiència) dels medis. Relacionant-ho amb el concepte de sostenibilitat i manteniment. 
- Profunditzar en el coneixement del vocabulari relatiu a la construcció, per poder utilitzar un llenguatge precís relacionat amb l’utilitzat per les diferents normatives. 
- Programar la connexió amb l’assignatura de projectes comentant detalls constructius sobre els temes plantejats, relacionant l’interès per la investigació amb la racionalitat i la possibilitat real de les propostes."
"1740096188-16","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204126&any_academic=2024_25&idioma=cat&modalitat=p","Història de l'art i de l'arquitectura antiga, fins a Bizanci, amb l'anàlisi de les formes constructives."
"1740096190-17","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204122&any_academic=2024_25&idioma=cat&modalitat=p","Es tracten els coneixements bàsics sobre la intervenció de l'energia i dels elements mecànics a l'arquitectura, amb les seves incidències sobre el disseny, l'ocupació d'espais i la definició de la forma. El curs s'estructura en 15 temes-clau, que incideixen sobre els principis de sostenibilitat , els climes, funcionament dels mitjans de control ambiental, els serveis."
"1740096192-18","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204005&any_academic=2024_25&idioma=cat&modalitat=p","Curs d’expressió gràfica arquitectònica que profunditza d’una manera pràctica en les noves tècniques de representació, i familiaritza l’estudiant en l’entorn digital.
En el cas d'una nova situació d'estat d'alarma o confinament territorial s'informarà als estudiants mitjançant el moodle de l'assignatura els canvis o modificacions pertinents en el currículum docent."
"1740096195-19","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204104&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura aprofundeix en el procés de projecte arquitectònic i alhora enfronta l'alumne per primera vegada amb les forces que donen forma a la ciutat. El curs es desenvolupa al voltant d'un exercici d'ampli espectre escalar que articula la feina individual, la de grup i la de tota la classe amb les exigències d'una tipologia mixta, d'un emplaçament urbà sensible i del conflicte entre els interessos individuals i els col·lectius. El resultat és la simulació d'un procés urbà orgànic, el projecte d'un barri plenament funcional i formalment satisfactori per a la comunitat."
"1740096197-20","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204113&any_academic=2024_25&idioma=cat&modalitat=p","Aquesta assignatura té com a objectiu general aprofundir en el coneixement i l'aplicació dels sistemes constructius dels tancaments i de l'envolupant de l'edifici, així com dels sistemes de comunicacions verticals.Un cop finalitzada l'assignatura, l'estudiantat serà capaç d'analitzar críticament la capacitat que tenen les envolupants d'aïllar-se tèrmicament, per una banda, i per l'altra, d'evitar les condensacions.Finalment, també serà capaç d'analitzar la resistència d'aquests tancaments al vent i la neu."
"1740096199-21","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204119&any_academic=2024_25&idioma=cat&modalitat=p","Presentar els conceptes bàsics pel disseny d’estructures d’edificació i els procediments d’encaix dels seus elements més significatius, aplicat al disseny d’estructures d’acer."
"1740096201-22","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204128&any_academic=2024_25&idioma=cat&modalitat=p","Història de l'art i de l'arquitectura del Romànic a la Il·lustració, a partir de les formes constructives de l'arquitectura."
"1740096204-23","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204123&any_academic=2024_25&idioma=cat&modalitat=p","Aquesta assignatura pretén donar a conèixer els sistemes i/o instal•lacions següents que formen part d’un projecte arquitectònic:

Electricitat, Fontaneria, Energia solar tèrmica, Ventilació, Sanejament,  Telecomunicacions, Ascensors, Incendis i Gas,

Des de l’anàlisi i integració de la normativa i legislació, fins al disseny i càlcul dels sistemes i/o instal•lacions en un edifici."
"1740096206-24","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204129&any_academic=2024_25&idioma=cat&modalitat=p","Introducció a les idees teòriques que han acompanyat a l’arquitectura, en particular, i a la producció cultural, en general, durant el segle XX."
"1740096208-25","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204105&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura té la voluntat de conformar un apropament al paisatge i al fenòmen urbà en el àmbit mediterrani. Aquest apropament contempla tant treballs d'anàlisi com d'intervenció en el territori i la ciutat, amb especial atenció als equipaments, l'espai public i l'habitatge urbà, tots emmarcats en el coneixement de la ciutat a través de l'elaboració de continuats projectes de renovació i extensió urbana."
"1740096211-26","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204114&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura de Construcció IV està encaminada a facilitar a l'alumne els coneixements bàsics sobre els sistemes estructurals més habituals en la construcció i les eines per a aplicar-los al projecte.
El programa es divideix en dues parts: L'estructura pròpiament dita i els sistemes de fonamentació i contenció de terres. 
Aquests coneixements s'imparteixen des de varies vessants: Les característiques del sistema, el comportament, el dimensionat previ al càlcul estructural i el disseny dels elements i unions."
"1740096213-27","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204120&any_academic=2024_25&idioma=cat&modalitat=p","Aquesta assignatura introdueix a l'alumne en el càlcul i disseny d'estructures de formigó armat. S'analitza en profunditat el comportament resistent i deformacional de les seccions de formigó sota diferents estats tensionals."
"1740096215-28","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204116&any_academic=2024_25&idioma=cat&modalitat=p","Anàlisi dels conceptes bàsics i generals de la geotècnia i repercussions en els diferents tipus de terrenys existents. Anàlisi de l'aigua al terreny i funcionament. Avaluació de riscos geològics i patologies del terreny. Anàlisi de fonamentacions i estructures de contenció i avaluació d'empentes del terreny i pressions màximes admissibles. Avaluació i estudi de l'estudi geotècnic"
"1740096217-29","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204127&any_academic=2024_25&idioma=cat&modalitat=p","Història de l'art i de l'arquitectura de mitjans S.XIX fins la segona guerra mundial, a partir de les formes constructives de l'arquitectura."
"1740096220-30","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204106&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura té la voluntat de conformar un apropament al paisatge i al fenòmen urbà de l'àmbit mediterrani. Aquest apropament contempla tant treballs d'anàlisi com d'intervenció en el medi, amb especial atenció a l'habitatge i a les formes del creixement urbà (FCU) de la ciutat."
"1740096222-31","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204132&any_academic=2024_25&idioma=cat&modalitat=p","Aquesta assignatura té com a objectiu que l'alumnat conegui les actuacions a dur a terme per l'avaluació dels costos d'un procés de construcció, en fase de projecte, així com el control d'aquests costos, en fase d'obra. Es farà especial èmfasi en el coneixement d'aquestes actuacions en els processos que es duen a terme a l'àmbit de l'obra pública, donat el major rigor que se’ls hi exigeix. Un altre objectiu de l'assignatura és que l'alumnat conegui les tècniques i els mètodes de valoració d'immobles, d'acord amb la Ordre ECO/805/2003."
"1740096224-32","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204131&any_academic=2024_25&idioma=cat&modalitat=p",""
"1740096226-33","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204115&any_academic=2024_25&idioma=cat&modalitat=p","Donar eines al alumne per definir constructivament tots els elements bàsics per la construcció d'un edifici.
Conèixer i reconèixer diferents sistemes constructius en cobertes, façanes, fonaments i tanacaments i divisòries interiors.
Facilitar un ventall de diferents materials per saber com utilitzar-los en cada sistema constructiu.
Escollir un projecte propi i definir-lo completament com un projecte bàsic i executiu amb tots els seus detalls constructius per poder entendre i construir el projecte.
Introduir a l'alumne en el món real de la professió anant a visites d'obra per identificar i compendre els elements exposats i explicats durant el curs."
"1740096229-34","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204121&any_academic=2024_25&idioma=cat&modalitat=p","Assignatura per adquirir els coneixements necessaris per el càlcul de fonamentacions superficials, i ampliació del càlcul de murs de contenció de terres. Amb una introducció de mecànica del sòl i les fonamentacións profundes."
"1740096231-35","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204107&any_academic=2024_25&idioma=cat&modalitat=p","Els professors de 4º de Urbanisme i Projectes
plantegem el curs com un any de recerca sobre temes contemporanis. Aquest es un
curs que vol, des de l’arquitectura, imaginar escenaris, habitats, espais per un
mon millor. Volem que aquest curs de projectes i urbanisme reflexioni sobre
problemes reals. Creiem, fermament, amb la capacitat de l’arquitecte per
transformar i millorar el territori i la societat des d’una actitud optimista,
compromesa i oberta.MIGRACIONS I TERRITORI

Urgència i OportunitatAquest curs pretén estudiar les Migracions com a
fenomen social ,d’escala planetària, que afecta, silenciosament, al territori i
a les nostres ciutats. Una problemàtica del mon contemporani que demana,
urgentment, propostes i mirades arquitectòniques. Les migracions son avui un
fenomen que exigeix, des d’un punt de vista humanitari i arquitectònic, una
atenció urgent. No podem, des d’una escola d’arquitectura que ensenya a
projectar la ciutat, l’habitatge i el paisatge obviar un problema d’escala
urbana, territorial i climàtica. Una qüestió que necessita, inevitablement, de la
veu de l’arquitecte per ser atesa amb solucions i estratègies imaginatives per
millorar l’entorn habitable i social contemporani.

Les Migracions son un fenomen social que demanda urgentment
decisions i projectes d’arquitectura, de disseny urbà, d’infraestructures i de
paisatge. Malgrat això, no volem en cap cas, que aquest 4ª curs de Projectes i
Urbanisme esdevingui un curs d’antropologia ni d’humanitats. Però, mantenir una
actitud passiva, conscientment no atenta, a un problema social i humà d’ordre
mundial és, sense cap mena de dubte, un greu error. 

No volem plantejar aquest curs des de la
responsabilitat social i el pessimisme crític. No volem tampoc convertir-nos en
els salvadors d’una situació humanitària extrema. Volem des de la nostre
consciencia, sensibilitat i responsabilitat social abordar el problema de les migracions
com una oportunitat pel territori d’acollida. Una ocasió per enriquir la
cultura i l’economia local."
"1740096233-36","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204130&any_academic=2024_25&idioma=cat&modalitat=p",""
"1740096236-37","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204133&any_academic=2024_25&idioma=cat&modalitat=p","Aquesta assignatura pretén ser una aproximació a aquest món professional, complex, confós i canviant, del que l’alumnat molt aviat en formarà part. En el seu desenvolupament, es coneixerà l’organització de la professió d’arquitecte i l’estructura dels seus col•legis professionals, fent especial èmfasi en el coneixement dels estatuts i codis deontològics així com les responsabilitats derivades de l’exercici professional. Es farà un recorregut pels processos necessaris per a la transformació del sòl, primer des del sòl rústic al sòl urbanitzat i posteriorment des del sòl urbanitzat al producte immobiliari acabat, fent especial consideració en el rol de l’arquitecte en aquests processos de transformació. En la primera part s’analitzaran els processos des del vessant de l’Administració pública deixant la segona part per a conèixer els processos des del vessant de la iniciativa privada. En ambdós casos, a més a més del coneixement dels processos, s’aprofundirà en conèixer les relacions de l’arquitecte amb els altres agents de l’edificació. Es coneixeran els processos per la prevenció dels riscos laborals a les obres. També es coneixeran els mètodes de planificació temporal (Gantt i Pert)."
"1740096238-38","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204124&any_academic=2024_25&idioma=cat&modalitat=p","Dotar als estudiants de coneixements per tal de dissenyar, calcular i integrar les instal·lacions d'enllumenat artificial, climatització i acústica a un projecte arquitectònic concret, aplicant la normativa corresponent i criteris d'estalvi energètic, sostenibilitat i mediambient."
"1740096240-39","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204108&any_academic=2024_25&idioma=cat&modalitat=p","El curs de Urbanisme I Projectes VI es la continuació de la recerca sobre les Migracions desenvolupat en el curs anterior d' Urbanisme I i Projectes V
Els professors del segon quadrimetre de 4º de Urbanisme I i Projectes VI plantegem el curs com un any de recerca sobre temes contemporanis. Aquest es un
curs que vol, des de l’arquitectura, imaginar escenaris, habitats, espais per un
mon millor. Volem que aquest curs de projectes i urbanisme reflexioni sobre
problemes reals. Creiem, fermament, amb la capacitat de l’arquitecte per
transformar i millorar el territori i la societat des d’una actitud optimista,
compromesa i oberta.

 

MIGRACIONS I TERRITORI

Urgència i OportunitatAquest curs pretén estudiar les Migracions com a
fenomen social ,d’escala planetària, que afecta, silenciosament, al territori i
a les nostres ciutats. Una problemàtica del mon contemporani que demana,
urgentment, propostes i mirades arquitectòniques. Les migracions son avui un
fenomen que exigeix, des d’un punt de vista humanitari i arquitectònic, una
atenció urgent. No podem, des d’una escola d’arquitectura que ensenya a
projectar la ciutat, l’habitatge i el paisatge obviar un problema d’escala
urbana, territorial i climàtica. Una qüestió que necessita, inevitablement, de la
veu de l’arquitecte per ser atesa amb solucions i estratègies imaginatives per
millorar l’entorn habitable i social contemporani.

Les Migracions son un fenomen social que demanda urgentment
decisions i projectes d’arquitectura, de disseny urbà, d’infraestructures i de
paisatge. Malgrat això, no volem en cap cas, que aquest 4ª curs de Projectes i
Urbanisme esdevingui un curs d’antropologia ni d’humanitats. Però, mantenir una
actitud passiva, conscientment no atenta, a un problema social i humà d’ordre
mundial és, sense cap mena de dubte, un greu error. 

No volem plantejar aquest curs des de la
responsabilitat social i el pessimisme crític. No volem tampoc convertir-nos en
els salvadors d’una situació humanitària extrema. Volem des de la nostre
consciencia, sensibilitat i responsabilitat social abordar el problema de les migracions
com una oportunitat pel territori d’acollida. Una ocasió per enriquir la
cultura i l’economia local."
"1740096242-40","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204134&any_academic=2024_25&idioma=cat&modalitat=p","Qualsevol activitat de qualsevol persona s'emmarca en un context d'accions i reaccions, de causes i conseqüències. En el cas de les persones que exerceixen l'arquitectura, a més, qualsevol activitat pot marcar un futur (fins i tot llunyà) i pot tenir bons resultats però també conseqüències fatals. La legislació bàsica i les normatives que se'n deriven intenten controlar aquestes causes per evitar les conseqüències dolentes. Ho aconsegueixen sempre ? A quin preu ?
En aquesta assignatura intentarem imaginar el marc jurídic d'un món perfecte i el compararem amb el marc jurídic del món existent."
"1740096245-41","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204125&any_academic=2024_25&idioma=cat&modalitat=p","Aquesta assignatura pretén donar a conèixer les infraestructures
urbanes que es requereixen per tal d’urbanitzar una zona.
Com en altres assignatures es pretén passar des de l’anàlisi i
integració de la normativa i legislació, fins al disseny i càlcul dels
sistemes i/o infraestructures en un projecte real d’urbanització
facilitat pel professor o elegit per l'alumne."
"1740096247-42","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204117&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura desenvolupa el coneixement sobre la patologia en construccions arquitectòniques, la diagnosi i les tècniques d'intervenció en edificació existent."
"1740096249-43","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204109&any_academic=2024_25&idioma=cat&modalitat=p","Preparacio per el futur arquitecte en el desenvolupament de un projecte executiu"
"1740096252-44","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204110&any_academic=2024_25&idioma=cat&modalitat=p","Primera aproximació al projecte final de carrera, estudiant un ambit amb la finalitat de desenvolupar un projecte"
"1740096254-45","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204301&any_academic=2024_25&idioma=cat&modalitat=p","El Projecte de Fi de Grau es defineix com un projecte arquitectònic integral, original i de naturalesa professional, que permet a l’estudiant mostrar de manera integrada els continguts formatius i les competències adquirides associades al Títol de Grau, realitzat individualment, desenvolupat fins el punt de determinar la completa execució de les obres materials que anticipa,  amb compliment de la reglamentació tècnica i administrativa aplicable."
"1740096256-46","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204501&any_academic=2024_25&idioma=cat&modalitat=p","Pràctiques en empreses, estudis d'arquitectura i institucions públiques on l'estudiant s'aproparà al món professional."
"1740096258-47","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204213&any_academic=2024_25&idioma=cat&modalitat=p","L'objectiu de l'assignatura és desenvolupar noves cartografies del territori que facin possible l'estudi i catalogació del patrimoni històric, arquitectònic i paisatgistic."
"1740096261-48","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204210&any_academic=2024_25&idioma=cat&modalitat=p","L’assignatura introdueix la definició d’intervenció en el patrimoni, on s'estableix la problemàtica de la protecció, particularment a Catalunya, i incideix en les intervencions sobre el patrimoni català."
"1740096263-49","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204211&any_academic=2024_25&idioma=cat&modalitat=p","L'assignatura Centres Històrics i renovació urbana s'ocupa de la teoria i la pràctica de les intervencions de millora i transformació dels edificis, espais urbans i paisatges patrimonials que constitueixen els centres antics de les viles i ciutats del territori."
"1740096265-50","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204217&any_academic=2024_25&idioma=cat&modalitat=p","Interpretar, redactar i gestionar el planejament territorial i urbanístic. Formulació de projectes urbans. Intervenció en conjunts urbans: plans de millora urbana. Disseny interdisciplinar de l'espai urbà. Organismes amb competència en matèria urbanística. Informació urbanística"
"1740096268-51","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204218&any_academic=2024_25&idioma=cat&modalitat=p","La singularitat d’un determinat sistema estructural pot ser donada per dues circumstàncies: per la singularitat del treball mecànic del seu material resistent, o per la singularitat del context arquitectònic i constructiu del qual forma part.
Amdues singularitats es posen en relació amb les intervencions sobre el patrimoni arquitectònic."
"1740096270-52","https://guiadocent.urv.cat/docnet/guia_docent/assignatures/print/?centre=22&ensenyament=2220&assignatura=22204203&any_academic=2024_25&idioma=cat&modalitat=p",""
